03/15/26 00:17:21:998 | [INFO] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Getting list of NGL based installed products
03/15/26 00:17:22:045 | [WARN] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Memory not sufficient for fetching installed products from hyperdrive, size req = 17539
03/15/26 00:17:22:056 | [INFO] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Successfully fetched list of installed products in updated memory.
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | AID response parsing started with filter: HD
03/15/26 00:17:22:057 | [WARN] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Skipping non-HD InstallerType 'PIM', SAPCode:KCCC
03/15/26 00:17:22:057 | [WARN] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Skipping non-HD InstallerType 'PIM', SAPCode:KCCCADS
03/15/26 00:17:22:057 | [WARN] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | Skipping non-HD InstallerType 'PKG', SAPCode:APRO
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | AIDWrapper |  |  | 34902 | AID response parsing completed
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:057 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | NGL App ID Not Found in local Database
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | NGL App ID Not Found in local Database
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:058 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:059 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:059 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:059 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:059 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Getting NGLAppId
03/15/26 00:17:22:059 | [INFO] | 10544 | AdobeGCClient |  | NGLAppIDLookup |  |  | 34902 | Returning NGLAppId
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Getting machine id
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | SLCoreService |  |  | 34902 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
03/15/26 00:17:22:062 | [ERROR] | 10544 | AdobeGCClient |  | SLCoreService |  |  | 34902 | user based licensing: 0
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | SLCoreService |  |  | 34902 | Service construction took 0.0 ms and succeed.
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | SLCoreService |  |  | 34902 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | SLCoreService |  |  | 34902 | Service destruction took 0.0 ms and succeed.
03/15/26 00:17:22:062 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | machine id is I0it0LKJ0CWcqbY9501Eds9Uz5PtpEUT
03/15/26 00:17:22:064 | [INFO] | 10544 | AdobeGCClient |  | OSUtilitiesMac |  |  | 34902 | arm64 architecture value = 1
03/15/26 00:17:22:064 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Reading AGS service status
03/15/26 00:17:22:066 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Reading AGM service status
03/15/26 00:17:22:069 | [ERROR] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Last updateCheck request status read : Success
03/15/26 00:17:22:069 | [ERROR] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Last update check attempted timestamp read : 1773531946000
03/15/26 00:17:22:070 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Client source of installation read successfully: ADC
03/15/26 00:17:22:070 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Successfully fetched all replay write status records
03/15/26 00:17:22:070 | [DEBUG] | 10544 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 34902 | Products installed on the machine, sending fetch rules
03/15/26 00:17:22:070 | [INFO] | 10544 | AdobeGCClient |  | AdobeGCIALWrapper |  |  | 34902 | Fetching Rules started
